0.201896517995 0.00822974704902 6.77287364909e-05
0.100258843723 0.00579940472684 4.31857490603e-05
0.0497870683679 0.00408677143846 2.75364493497e-05
0.0247235264703 0.00287989915809 1.75580153011e-05
0.0122773399031 0.0020294306363 1.11954848426e-05
0.00609674656552 0.00143011559831 7.13855630669e-06
0.00302755474538 0.00100778542905 4.55174446308e-06
0.00150343919298 0.000710174388843 2.90232040865e-06
0.000746585808377 0.000500451433441 1.85060119758e-06
0.000370743540459 0.000352662164628 1.179995421e-06
0.000184105793668 0.000248516827108 7.52398299216e-07
9.14242314782e-05 0.000175126848158 4.79750336813e-07
4.53999297625e-05 0.000123409804087 3.05902320502e-07
2.25449379132e-05 8.69654190944e-05 1.95051931198e-07
1.11954848426e-05 6.12834950532e-05 1.2437060236e-07
5.55951324165e-06 4.31857490603e-05 7.93021972991e-08
2.76077257204e-06 3.04324830084e-05 5.05653134834e-08
1.37095908638e-06 2.14454083166e-05 3.22418673726e-08
6.80798134398e-07 1.51123238199e-05 2.05583222976e-08
3.3807434839e-07 1.06494746038e-05 1.31085650471e-08
1.67882753e-07 7.50455791508e-06 8.35839010137e-09
8.33681078996e-08 5.28837258136e-06 5.32954483087e-09
4.13993771879e-08 3.72665317208e-06 3.3982678195e-09
2.05583222976e-08 2.62612810488e-06 2.16683122846e-09
1.02089607236e-08 1.85060119758e-06 1.38163259108e-09
5.06961986232e-09 1.30409662276e-06 8.8096783527e-10
2.51749871944e-09 9.18981357898e-07 5.61729892442e-10
1.25015286639e-09 6.47595217584e-07 3.58174793028e-10
6.2080754094e-10 4.5635263679e-07 2.28382331236e-10
3.08283901314e-10 3.21586267858e-07 1.45623003729e-10
1.53089254788e-10 2.26618012777e-07 9.28533267014e-11
7.60218740961e-11 1.59695014519e-07 5.92058950766e-11
3.77513454428e-11 1.12535174719e-07 3.77513454428e-11
nan nan nan
1.86983638043e-10 1.36741960657e-05 5.57390369269e-07
1.77864338406e-10 1.17694896249e-05 4.12924941587e-07
1.69189792262e-10 1.01300935986e-05 3.05902320502e-07
1.60938308724e-10 8.71905236227e-06 2.26618012777e-07
1.53089254788e-10 7.50455791508e-06 1.67882753e-07
1.45623003729e-10 6.45923285705e-06 1.2437060236e-07
1.38520886031e-10 5.55951324165e-06 9.21360083457e-08
1.31765142701e-10 4.78511739213e-06 6.82560337633e-08
1.25338880861e-10 4.11858870754e-06 5.05653134834e-08
1.19226031509e-10 3.54490215219e-06 3.7459705563e-08
1.13411309337e-10 3.05112555804e-06 2.77508324224e-08
1.07880174513e-10 2.62612810488e-06 2.05583222976e-08
1.02618796317e-10 2.26032940698e-06 1.52299797447e-08
9.76140185636e-11 1.94548354994e-06 1.12826464955e-08
9.28533267014e-11 1.67449320943e-06 8.35839010137e-09
8.83248165212e-11 1.44124966183e-06 6.19204768266e-09
8.40171643886e-11 1.24049507996e-06 4.58718174665e-09
7.99195989295e-11 1.06770401003e-06 3.3982678195e-09
7.60218740961e-11 9.18981357898e-07 2.51749871944e-09
7.23142435459e-11 7.90974584929e-07 1.8650089219e-09
6.87874362713e-11 6.80798134398e-07 1.38163259108e-09
6.54326334173e-11 5.85968384611e-07 1.02353859776e-09
6.22414462291e-11 5.04347662568e-07 7.58256042791e-10
5.92058950766e-11 4.34096056064e-07 5.61729892442e-10
5.63183895007e-11 3.73629937989e-07 4.16139739422e-10
5.35717092336e-11 3.21586267858e-07 3.08283901314e-10
5.09589861438e-11 2.76791865854e-07 2.28382331236e-10
4.84736870627e-11 2.3823696675e-07 1.69189792262e-10
4.61095974481e-11 2.05052457561e-07 1.25338880861e-10
4.38608058445e-11 1.76490285808e-07 9.28533267014e-11
4.17216891016e-11 1.51906596757e-07 6.87874362713e-11
3.96868983133e-11 1.307472195e-07 5.09589861438e-11
3.77513454428e-11 1.12535174719e-07 3.77513454428e-11
